letter,weight,relative_weight,center_x,center_y,relative_center_x,relative_center_y,inertia_x,inertia_y,relative_inertia_x,relative_inertia_y
A,320,0.150093808630394,31.421875,20.871875,0.5965073529411765,0.49679687499999997,21979.74687500001,31488.046875,5.012485034207528,7.180854475484606
Β,496,0.2725274725274725,28.739919354838708,17.294354838709676,0.5439199873497786,0.4792457305502846,34505.02419354838,58255.449596774146,8.782139015919668,14.827042401825947
Γ,259,0.1423076923076923,25.694980694980696,12.822393822393822,0.48421530774471955,0.3477174653645242,12113.830115830113,38920.903474903476,3.083184045769945,9.906058405422112
Δ,314,0.17252747252747253,32.51592356687898,18.738853503184714,0.6179592856250781,0.5217309853877857,17652.585987261158,32618.420382165627,4.492895389987569,8.301964973826832
Ε,364,0.2,28.684065934065934,14.085164835164836,0.5428248222365869,0.384857789269554,20476.35989010988,52758.667582417555,5.211595797940921,13.428014146708463
Ζ,356,0.1956043956043956,28.848314606741575,16.820224719101123,0.5460453844459132,0.46530072703238595,22680.49438202243,56573.808988764176,5.7725870150222525,14.399035120581363
Η,524,0.23434704830053668,28.498091603053435,20.984732824427482,0.5391782667265379,0.47582697201017815,68789.87786259533,63682.998091603215,15.108692699889156,13.987041091940087
Θ,486,0.22795497185741087,28.516460905349795,19.567901234567902,0.5395384491245058,0.46419753086419757,65249.25925925923,47429.36831275718,14.880104734152617,10.816275555930941
Ι,244,0.22344322344322345,28.5,9.5,0.5392156862745098,0.425,1405.0,31613.0,0.4467408585055644,10.051828298887122
Κ,448,0.2003577817531306,29.982142857142858,17.810267857142858,0.5682773109243697,0.4002444727891157,36578.87276785716,60237.857142857094,8.034015543126984,13.23036616359699
Λ,292,0.13696060037523453,31.589041095890412,21.20205479452055,0.599785119527263,0.5050513698630137,20801.078767123294,29432.684931506905,4.743689570609645,6.7121288327267745
Μ,591,0.21856508875739644,28.460236886632824,26.629441624365484,0.5384360173849574,0.5025380710659899,106367.84771573608,66660.8155668359,19.668610894181967,12.326334239429714
Ν,370,0.16547406082289803,27.32972972972973,20.762162162162163,0.5162692103868575,0.4705276705276705,42767.07027027041,41325.77297297295,9.393162809196223,9.076602893251252
Ξ,379,0.20824175824175825,29.277044854881268,16.944591029023748,0.5544518598996327,0.46895855967716904,29651.83641160953,66779.91029023753,7.54691687747761,16.996668437321844
Ο,414,0.19418386491557224,28.615942028985508,19.73671497584541,0.5414890593918728,0.46841787439613525,63126.3019323672,46197.93478260882,14.395963952649304,10.535446928759137
Π,509,0.2276386404293381,27.80353634577603,20.93909626719057,0.5255595361916869,0.4747403873140612,67765.11198428288,68838.35363457768,14.883617830942867,15.119339695712208
Ρ,379,0.22776442307692307,25.854881266490764,13.868073878627968,0.48735061306844635,0.41509915737509573,22743.403693931457,41189.018469657014,6.100698415754146,11.048556456453062
Σ,335,0.2013221153846154,29.277611940298506,13.620895522388059,0.5544629792215393,0.40712566201251804,17588.85373134329,59091.182089552414,4.718040163986934,15.850638972519425
Τ,270,0.14835164835164835,25.322222222222223,16.822222222222223,0.47690631808278866,0.465359477124183,10017.466666666667,40800.96666666666,2.549622465428014,10.384567744124881
Υ,300,0.14071294559099437,26.466666666666665,18.153333333333332,0.4993464052287581,0.4288333333333333,15592.946666666678,38988.66666666669,3.5559741543139514,8.891372101862416
Φ,522,0.2448405253283302,28.53639846743295,19.480842911877396,0.5399293817143715,0.4620210727969349,46244.308429118704,47901.80842911891,10.546022446777355,10.92401560527227
Χ,382,0.17917448405253283,28.26439790575916,19.484293193717278,0.5345960373678267,0.46210732984293196,29861.405759162262,53618.295811518394,6.809898690800972,12.227661530562917
Ψ,435,0.1945438282647585,25.08735632183908,20.979310344827585,0.4723011043497859,0.47569786535303776,41330.813793103414,42624.68045977005,9.077710035823284,9.361888965466736
Ω,490,0.2298311444652908,29.879591836734694,19.56122448979592,0.566266506602641,0.46403061224489794,70142.66326530608,63439.89591836734,15.996046354687818,14.467479114793008
