,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
Ξ,"('Ξ', 0.9956119036347866, 0.7519812397028574)","('Ζ', 0.9951288039783011, 0.5988408833325809)","('Σ', 0.9842159978974394, 0.5723851320982494)","('Ε', 0.9873158706655984, 0.47215070915939783)","('Δ', 0.9518097546449926, 0.46272622176431066)","('Χ', 0.9812410679434067, 0.43420656441323435)","('Τ', 0.9377431977760183, 0.40267547390403136)","('Γ', 0.9067521909423196, 0.3839683418474398)","('Ω', 0.9308691580811378, 0.3832892267705057)","('Θ', 0.9010886845281297, 0.36580160177417753)","('Λ', 0.9341826231029097, 0.3512526730284543)","('Ρ', 0.9552456271171385, 0.3433348998258644)","('A', 0.9329888437136857, 0.34295296856283075)","('Υ', 0.9652671210529968, 0.3417809096827039)","('Κ', 0.9618071574218702, 0.31513022828645376)","('Β', 0.9225121310163052, 0.3094527967135683)","('Ψ', 0.9075315420756807, 0.24316259008181496)","('Ν', 0.919378236626731, 0.24206648900094474)","('Η', 0.9277302809151495, 0.15333846473452017)","('Π', 0.942484204356491, 0.1423463637142811)","('Ι', 0.9491132063329906, 0.0)","('Φ', 0.8971684415453683)","('Ο', 0.8952926349869529)","('Μ', 0.8784406631998739)","('ΔΤ', 0.7131282818140114)","('ΡΔ', 0.685522000386109)","('ΔΥ', 0.6640363828954896)","('ΔΨ', 0.647355583462657)","('ΡA', 0.5996470555807893)","('AΤ', 0.584019440239422)","('ΡΛ', 0.5644441967888292)","('ΤΔ', 0.558738975122876)","('ΛΤ', 0.5537669859565528)","('ΨΔ', 0.5372759049683375)","('AΨ', 0.535108092265822)","('AΥ', 0.5323510890467631)","('ΛΨ', 0.5231018020070834)","('ΛΥ', 0.5053215694562365)","('´', 0.4906341488609519)","('ΤA', 0.4346847824845542)","('ΨA', 0.43437979701214124)","('ΨΛ', 0.3918495561916987)","('ΥΔ', 0.3831859982939405)","('ΤΛ', 0.3522435128605923)","('ΓΔ', 0.31094499535596754)","('ΥA', 0.23458380746210006)","('ΓA', 0.13800726055299295)","('ΥΛ', 0.13547072419169748)","('ΓΛ', 0.0)"
´,"('´', 0.9931586360167856, 0.0)","('Ψ', 0.7657495810625391)","('Ρ', 0.7591356043774009)","('Υ', 0.7356747643347092)","('Ν', 0.711594960238896)","('Ε', 0.700382791991289)","('Κ', 0.7003070188539711)","('Γ', 0.6928199562615618)","('Χ', 0.6863003276557672)","('Π', 0.6749572017813934)","('Φ', 0.6702506074160415)","('Θ', 0.6628277901751785)","('Η', 0.6621236747547415)","('Τ', 0.6587676693395597)","('Μ', 0.6342008107525559)","('Ο', 0.6288494787306775)","('Ζ', 0.628791959060919)","('Β', 0.6186380432721994)","('A', 0.6042485613693849)","('Ω', 0.5992033405387621)","('Σ', 0.598796027434128)","('Ξ', 0.5968122233117021)","('Λ', 0.5895977102779781)","('Δ', 0.5625755376650492)","('Ι', 0.5564755152765901)","('ΡΔ', 0.5170121918527304)","('ΔΤ', 0.5094369890132345)","('ΔΨ', 0.4980961513648706)","('ΔΥ', 0.4941359953354144)","('ΡA', 0.48007724145148933)","('ΡΛ', 0.46730011494228463)","('ΨΔ', 0.4237670840596788)","('AΤ', 0.41917145090808017)","('AΨ', 0.4161463238215658)","('ΛΨ', 0.4123615757471746)","('AΥ', 0.39938546272616815)","('ΛΤ', 0.39527303189824814)","('ΛΥ', 0.37912851923325197)","('ΨA', 0.37056341247703195)","('ΤΔ', 0.3666722143539811)","('ΨΛ', 0.3543800995409855)","('ΤA', 0.30403111513952386)","('ΤΛ', 0.252428123028944)","('ΥΔ', 0.246899002572476)","('ΓΔ', 0.18719996539162598)","('ΥA', 0.16456650822009278)","('ΥΛ', 0.10280270906822875)","('ΓA', 0.09041138704704843)","('ΓΛ', 0.0)"
Ε,"('Ε', 0.9983495612405201, 0.7068922928550894)","('Ζ', 0.987886618267028, 0.5864973940258098)","('Γ', 0.9260219270669723, 0.5783825490556319)","('Ρ', 0.9632313502548265, 0.50051509783969)","('Δ', 0.9433346832359296, 0.49212082351377495)","('Σ', 0.9811458717975636, 0.4580666099393017)","('Ξ', 0.9861461269587473, 0.40316890838794306)","('Β', 0.9132099415484769, 0.4023798291002615)","('Κ', 0.9764731289378475, 0.3867847751440213)","('Η', 0.926940509615023, 0.3374437773880815)","('Π', 0.9412200630286701, 0.3260352678425137)","('Χ', 0.9815834797439493, 0.3236268647335292)","('Τ', 0.9332717703780057, 0.3216425594130198)","('Θ', 0.9029115446502658, 0.320825716705345)","('Ω', 0.9266900695406461, 0.2798480061840837)","('Ν', 0.9258078657520669, 0.272873226607368)","('Λ', 0.9307676240995258, 0.2658468089040512)","('A', 0.9321738078618039, 0.26175615187500145)","('Υ', 0.97398405385125, 0.24041586625364286)","('Ψ', 0.9137463030287186, 0.13439197682494008)","('Ι', 0.9374675562438088, 0.0)","('Φ', 0.8987152655635509)","('Ο', 0.8951790202104039)","('Μ', 0.8747422221680992)","('ΔΤ', 0.7156942850477667)","('ΡΔ', 0.6909151705171177)","('ΔΥ', 0.6712176820689644)","('ΔΨ', 0.6470318750386655)","('ΡA', 0.6104018822781605)","('AΤ', 0.5845234398866359)","('ΡΛ', 0.5764105004026233)","('´', 0.555337744041494)","('ΤΔ', 0.5520817631377418)","('ΛΤ', 0.551528532181937)","('ΨΔ', 0.5392297614662637)","('AΥ', 0.5370394580123827)","('AΨ', 0.5328192042228252)","('ΛΨ', 0.5189191590529685)","('ΛΥ', 0.5075514532296146)","('ΨA', 0.44101255991729726)","('ΤA', 0.43307501511418045)","('ΨΛ', 0.39970158018527624)","('ΥΔ', 0.3772768730897531)","('ΤΛ', 0.3509361605538662)","('ΓΔ', 0.30635097147563395)","('ΥA', 0.23311300927129464)","('ΓA', 0.13784659662615661)","('ΥΛ', 0.1344613800334643)","('ΓΛ', 0.0)"
Ρ,"('Ρ', 0.9975594528928954, 0.7827913059976794)","('Β', 0.9581614796760989, 0.6365945556791666)","('Ε', 0.9783539292276431, 0.6268415052784144)","('Σ', 0.9255955672504643, 0.5260879201789643)","('Ζ', 0.9570765861189033, 0.47749225703865494)","('Δ', 0.9229655500511375, 0.4555020692493944)","('Θ', 0.9398896809096534, 0.37287645685052606)","('Ξ', 0.9477525268738923, 0.3714136918034856)","('Ο', 0.9029774078222773, 0.3570545611072201)","('Η', 0.9583370643131092, 0.35507156431894127)","('Κ', 0.9730660296766414, 0.3531818301277865)","('Ω', 0.9347364517796267, 0.3426953943279113)","('Π', 0.9655468101474148, 0.3413963709419673)","('Ι', 0.9058826353398158, 0.3336833298863424)","('Χ', 0.9712331200339234, 0.32796048122620236)","('Φ', 0.9539262866919526, 0.3241641175986403)","('Ψ', 0.9653492477870348, 0.31762735236353434)","('Υ', 0.9525369342788848, 0.2892604250769041)","('Λ', 0.9022824706967796, 0.2638037338110729)","('Ν', 0.9329984860327813, 0.25771855455627)","('A', 0.9148369813323165, 0.2543737518927913)","('Μ', 0.9158711295923793, 0.0)","('Τ', 0.892434618434999)","('Γ', 0.8658215012730224)","('ΡΔ', 0.7189771940670739)","('ΔΤ', 0.7187894235719303)","('ΔΨ', 0.6858885722759807)","('´', 0.6844612179941088)","('ΔΥ', 0.6791230846460738)","('ΡA', 0.635888667142051)","('ΡΛ', 0.6012735456279994)","('AΤ', 0.5897000448521084)","('ΨΔ', 0.5744905781152246)","('AΨ', 0.5715719283232555)","('ΛΨ', 0.559809759020607)","('ΤΔ', 0.5559118368260243)","('ΛΤ', 0.5556116253618386)","('AΥ', 0.5467399797266279)","('ΛΥ', 0.5169445292420075)","('ΨA', 0.47431879090257645)","('ΤA', 0.43726440594366167)","('ΨΛ', 0.4336043660626716)","('ΥΔ', 0.38688710788769876)","('ΤΛ', 0.3527646359749961)","('ΓΔ', 0.30571107280932985)","('ΥA', 0.24341668763264368)","('ΥΛ', 0.1437418445879609)","('ΓA', 0.13925249349412028)","('ΓΛ', 0.0)"
Ω,"('Ω', 0.9981286099587175, 0.7031924678006294)","('Ο', 0.9621753855232995, 0.6024585960271873)","('Θ', 0.9830374938775557, 0.5323550095710159)","('Χ', 0.9433098502229194, 0.3611821060890572)","('Δ', 0.9415326481577312, 0.2927523530825574)","('Ζ', 0.9058199583223225, 0.2847322824218146)","('Λ', 0.9225231784875649, 0.2744843321672218)","('A', 0.9364365803148098, 0.26139558688574505)","('Ν', 0.9356728572114377, 0.25457306998891327)","('Κ', 0.9606099489296478, 0.22374991259916854)","('Φ', 0.9559822931121491, 0.2003241849418882)","('Η', 0.9895769718362595, 0.18181920289745024)","('Π', 0.9869679611676415, 0.16799802430705313)","('Ψ', 0.9298364331103424, 0.1563433209768309)","('Ξ', 0.9099704355365027, 0.1440358756391431)","('Β', 0.9457277669232976, 0.09280283454562832)","('Ε', 0.9136482432147744, 0.08771927013538727)","('Μ', 0.9708949844993713, 0.03574108518013153)","('Ρ', 0.9369688127048448, 0.0)","('Υ', 0.8490246449652752)","('Σ', 0.8299754363185912)","('ΡΔ', 0.8157884462147698)","('ΔΤ', 0.8060876831718697)","('ΔΨ', 0.7770589524596979)","('ΔΥ', 0.7707128366622108)","('Ι', 0.7332754398438266)","('ΡA', 0.7265125693451535)","('Τ', 0.7113419049300702)","('ΡΛ', 0.6814899234878096)","('AΤ', 0.674635905227192)","('Γ', 0.6684489601005627)","('ΨΔ', 0.6627816081951752)","('AΨ', 0.6604203811901048)","('ΤΔ', 0.6450123638262608)","('ΛΨ', 0.6402571309435001)","('AΥ', 0.6340643494407151)","('ΛΤ', 0.6303601009314473)","('ΛΥ', 0.5954871630443743)","('ΨA', 0.551262575819009)","('ΤA', 0.5119663755757551)","('ΨΛ', 0.49683834918603376)","('ΥΔ', 0.46950060452230247)","('ΤΛ', 0.4072215870553686)","('ΓΔ', 0.37126295597824865)","('ΥA', 0.30286615595349364)","('´', 0.26904134724710815)","('ΥΛ', 0.1782696219140555)","('ΓA', 0.1747227753360976)","('ΓΛ', 0.0)"
Ο,"('Ο', 0.9944671883163162, 0.48334182845410933)","('Ν', 0.984524834308488, 0.3555591571597576)","('Θ', 0.9539905230755403, 0.3406647870132937)","('Ω', 0.960047195556929, 0.2870316905905955)","('Χ', 0.9242868812039087, 0.10047745682449516)","('Η', 0.9493174850326883, 0.08624027797610734)","('Ψ', 0.9294890974010704, 0.08546787029101277)","('Π', 0.9681751521459075, 0.07791375843211856)","('Μ', 0.956050828769644, 0.0)","('Λ', 0.8960058571213976)","('A', 0.8872664727081422)","('Κ', 0.8861673686937288)","('Ρ', 0.8813219932998215)","('ΔΤ', 0.8759322498262861)","('ΡΔ', 0.8582353229211361)","('Ξ', 0.8552636881918965)","('Ζ', 0.8542005268038084)","('Δ', 0.8529122758786785)","('Φ', 0.8503673103071832)","('Υ', 0.8379090280977485)","('Ε', 0.83455738324898)","('ΔΨ', 0.8330090086226298)","('ΔΥ', 0.8319487877051384)","('Β', 0.8086542388645596)","('ΡA', 0.7744469353672396)","('AΤ', 0.7499498564138506)","('Σ', 0.7381950832980204)","('ΡΛ', 0.7372749789821277)","('AΨ', 0.7201421622946458)","('ΨΔ', 0.719505532181961)","('ΤΔ', 0.7170987515506291)","('ΛΤ', 0.7147667909829486)","('ΛΨ', 0.7085048912128789)","('AΥ', 0.6978669432140632)","('Τ', 0.6680194254440954)","('ΛΥ', 0.6678825100698358)","('Γ', 0.610928162854838)","('ΨA', 0.6034081801041125)","('ΤA', 0.5778554387993433)","('ΨΛ', 0.5529444432966717)","('Ι', 0.5243717231515057)","('ΥΔ', 0.5189538229874984)","('ΤΛ', 0.4723100510415019)","('ΓΔ', 0.41289391474613957)","('ΥA', 0.33564517927004545)","('´', 0.20643837279473143)","('ΥΛ', 0.2028382596940076)","('ΓA', 0.19295355990860075)","('ΓΛ', 0.0)"
Τ,"('Τ', 0.9963956275435674, 0.7801674929082083)","('Υ', 0.9816099034526198, 0.5525959656933882)","('Ζ', 0.9635262227492959, 0.46970312104966805)","('Γ', 0.9618727495715174, 0.45452456783963446)","('Σ', 0.9646001164848858, 0.40328484894865935)","('Χ', 0.94494409343008, 0.3652719700196183)","('Ε', 0.9396944344189843, 0.3650678174293328)","('Ξ', 0.9540323807654983, 0.3243026110966397)","('Ρ', 0.9019153636001895, 0.2744236252913803)","('Ι', 0.9172040035865496, 0.0)","('Ν', 0.8918887115730454)","('Κ', 0.8833066921338716)","('Λ', 0.8821927398798849)","('Δ', 0.8687450420546302)","('Ψ', 0.8677394853764997)","('A', 0.8661820103138539)","('Π', 0.8632388960495347)","('Η', 0.8320715186419366)","('Ο', 0.8257943940177661)","('Ω', 0.8243418278527046)","('Β', 0.8060036537893145)","('Θ', 0.8036412238861088)","('Φ', 0.7846633113852834)","('Μ', 0.783208429790345)","('ΔΤ', 0.6556149060143175)","('´', 0.6409443795086114)","('ΔΥ', 0.600395156205255)","('ΡΔ', 0.59940940855381)","('ΔΨ', 0.5748870677762948)","('AΤ', 0.5386830680882989)","('ΡA', 0.5242743078184762)","('ΛΤ', 0.5212588407460934)","('ΤΔ', 0.512197133769848)","('ΡΛ', 0.49954054296214256)","('AΥ', 0.4809686315730809)","('AΨ', 0.4740514263473594)","('ΛΨ', 0.471564173921465)","('ΨΔ', 0.47123274190247)","('ΛΥ', 0.46524907987481834)","('ΤA', 0.39923299251543387)","('ΨA', 0.37830278844022347)","('ΨΛ', 0.3465562755333186)","('ΥΔ', 0.33769844380301617)","('ΤΛ', 0.3324043212904848)","('ΓΔ', 0.2756784147599689)","('ΥA', 0.20221151580665664)","('ΥΛ', 0.11877984555682963)","('ΓA', 0.11823182274523492)","('ΓΛ', 0.0)"
Ι,"('Ι', 0.9779817098741834, 0.7774878905430482)","('Γ', 0.9395844510682063, 0.3605385679871884)","('Ε', 0.9119665162885469, 0.3360613387708332)","('Σ', 0.9611120015036311, 0.29930551553041573)","('Τ', 0.9459616672069269, 0.29182733946254746)","('Ζ', 0.9213794563000655, 0.17693448353734187)","('Ξ', 0.9246243781406144, 0.09978461841429065)","('Υ', 0.9007025780693407, 0.0)","('Χ', 0.8712083130431257)","('Κ', 0.8430863247773185)","('Ρ', 0.8406236148249662)","('Δ', 0.8350490702269963)","('Λ', 0.8123223617760331)","('A', 0.8036550255632752)","('Β', 0.7975504245190508)","('Π', 0.7907113892165316)","('Ν', 0.7756882295189637)","('Ω', 0.7727823436910957)","('Η', 0.7691005765609957)","('Ψ', 0.7608575654638144)","('Φ', 0.7472580113745098)","('Ο', 0.7316286528729787)","('Θ', 0.7312531802407869)","('Μ', 0.7015713086327247)","('ΔΤ', 0.5538836137093157)","('´', 0.5257054968342902)","('ΡΔ', 0.5119192475269297)","('ΔΥ', 0.5036996923588157)","('ΔΨ', 0.4716206974408059)","('AΤ', 0.4407276739745625)","('ΡA', 0.43873461943134917)","('ΤΔ', 0.4225158494835868)","('ΛΤ', 0.4213517221766886)","('ΡΛ', 0.4139027378130735)","('AΥ', 0.39026422684758766)","('ΨΔ', 0.3811079392801343)","('AΨ', 0.37454067421403703)","('ΛΥ', 0.3721993488882933)","('ΛΨ', 0.3670516507687528)","('ΤA', 0.32084798308950024)","('ΨA', 0.29745669218192383)","('ΥΔ', 0.2722696936602177)","('ΨΛ', 0.2676490977421503)","('ΤΛ', 0.26355803766122343)","('ΓΔ', 0.23000316958861344)","('ΥA', 0.15551028381948973)","('ΓA', 0.09552640666549117)","('ΥΛ', 0.08610269802933523)","('ΓΛ', 0.0)"
Δ,"('Δ', 0.9956838504578662, 0.67137809819914)","('Ζ', 0.9711518282155595, 0.6059796598125187)","('Χ', 0.982229725688642, 0.5591100791574437)","('A', 0.9867082107013996, 0.5491201476901426)","('Λ', 0.9789402697027679, 0.5358587556782068)","('Θ', 0.9399913494873451, 0.4300816958557875)","('Ο', 0.9257269802470193, 0.4165902510682882)","('Ω', 0.9630082960449527, 0.4128854412042614)","('Κ', 0.9766030527656624, 0.4037994485898476)","('Υ', 0.9364360228875493, 0.3874012268439523)","('Σ', 0.9266077127493692, 0.3393836824012415)","('Ν', 0.9361994668241819, 0.33852105515325537)","('Ε', 0.9597870937144541, 0.32115256169848183)","('Ξ', 0.9631583084813993, 0.27343109303756985)","('Φ', 0.9309668494131778, 0.23687908989721207)","('Ψ', 0.9237924212945164, 0.2301448999545349)","('Ρ', 0.9413332091860711, 0.19403342678033142)","('Β', 0.9327529104299888, 0.17542919963976011)","('Η', 0.9545966415593791, 0.15257264324041764)","('Π', 0.957326124971974, 0.14093868302939916)","('Μ', 0.9247909976340233, 0.0)","('Ι', 0.8617171530506463)","('Τ', 0.8601715079675202)","('Γ', 0.8024616110039746)","('ΔΤ', 0.7583445610619636)","('ΡΔ', 0.7345833483790576)","('ΔΥ', 0.7179465027006515)","('ΔΨ', 0.7056953867293586)","('ΡA', 0.6497398938188654)","('AΤ', 0.6323810117856932)","('ΡΛ', 0.6053648796961447)","('ΤΔ', 0.601835288618822)","('AΨ', 0.5972264470821765)","('ΛΤ', 0.5940347905718211)","('AΥ', 0.5882002101714938)","('ΨΔ', 0.5875241973129963)","('ΛΨ', 0.5801418634327065)","('ΛΥ', 0.5543318432137028)","('ΨA', 0.48340694872368806)","('ΤA', 0.4751261405293655)","('ΨΛ', 0.4312022612006212)","('ΥΔ', 0.42825775315498493)","('´', 0.41249256082596353)","('ΤΛ', 0.3783766239942945)","('ΓΔ', 0.3356919746960133)","('ΥA', 0.2742746228021107)","('ΥΛ', 0.16059399833458365)","('ΓA', 0.1566005802143675)","('ΓΛ', 0.0)"
Ε,"('Ε', 0.9985744286482047, 0.7009158434830542)","('Ζ', 0.9868070051122859, 0.5775536337601721)","('Γ', 0.9276051146500358, 0.5723564156071498)","('Ρ', 0.9656512274117024, 0.5000743633130718)","('Δ', 0.9408432878059656, 0.4919043187839013)","('Σ', 0.9803541983521719, 0.4535393876404984)","('Ξ', 0.9846078329964907, 0.40273486016133886)","('Β', 0.9151204720609126, 0.4003259295634558)","('Κ', 0.976131758222606, 0.38868291852884085)","('Η', 0.926984567715942, 0.33443054395304117)","('Χ', 0.9807607847842391, 0.3252140174545628)","('Π', 0.9411299573759622, 0.3218564149823373)","('Τ', 0.9345277365610313, 0.3156641304570883)","('Θ', 0.9028796171844482, 0.31144326064161676)","('Ω', 0.9249659036054004, 0.27485708077555837)","('Ν', 0.9249750788664203, 0.27104729651482984)","('Λ', 0.9276574903237216, 0.2677717749528036)","('A', 0.9296072387841741, 0.2599723911273085)","('Υ', 0.9743570268900764, 0.2351650025624603)","('Ψ', 0.9158778757625456, 0.13718483638147771)","('Φ', 0.9006247028585275, 0.11258931209536926)","('Ι', 0.9398681106848967, 0.0)","('Ο', 0.893296889893903)","('Μ', 0.8744499583134155)","('ΔΤ', 0.7129579210147804)","('ΡΔ', 0.6894048422133431)","('ΔΥ', 0.6686922109918465)","('ΔΨ', 0.6458207597902097)","('ΡA', 0.6089974943109664)","('AΤ', 0.5819081406174367)","('ΡΛ', 0.575291131016276)","('´', 0.5701662060421238)","('ΤΔ', 0.5493116171801271)","('ΛΤ', 0.5490613732198815)","('ΨΔ', 0.5381525129649678)","('AΥ', 0.5346758572340006)","('AΨ', 0.5316090967008031)","('ΛΨ', 0.5179444679411989)","('ΛΥ', 0.5053391105170421)","('ΨA', 0.44023256137749145)","('ΤA', 0.43081502929243987)","('ΨΛ', 0.39934745294225804)","('ΥΔ', 0.37512313867548464)","('ΤΛ', 0.3491663486882348)","('ΓΔ', 0.3044039724297266)","('ΥA', 0.2317169073598887)","('ΓA', 0.13688947455708367)","('ΥΛ', 0.13374654140260067)","('ΓΛ', 0.0)"
