,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
Ξ,"('Ξ', 0.9938716681300064, 0.5113996308961055)","('A', 0.9445101531360106, 0.46615609167780914)","('Λ', 0.9439778027375443, 0.46189163708685477)","('Χ', 0.9835696585937027, 0.4551935043816979)","('Ζ', 0.9947801531154349, 0.44902798192528903)","('Υ', 0.9593995672231972, 0.444630368771622)","('Θ', 0.9119908078932063, 0.4129314098316407)","('Ν', 0.9224324846463627, 0.41260271381688673)","('Κ', 0.9628112697809545, 0.40412783743685177)","('Σ', 0.9757360221796022, 0.40333339147953207)","('Δ', 0.9644069899062674, 0.39978412904249583)","('Ο', 0.9025408087392939, 0.39482852799725776)","('Ω', 0.9406383662841967, 0.38836842385989045)","('Ψ', 0.91433032599414, 0.3744592234363958)","('Ε', 0.9814559515789527, 0.354849757832685)","('Τ', 0.9272632278456402, 0.31646744607443833)","('Φ', 0.9097105783949408, 0.3070600139138401)","('Η', 0.937275676209948, 0.2939352436812498)","('Π', 0.9494470531608339, 0.2897461947218599)","('Ρ', 0.9559222188330321, 0.270328627799837)","('Β', 0.934276836421041, 0.2247263553297999)","('Ι', 0.9416658970873584, 0.0)","('Μ', 0.892423146167622)","('Γ', 0.8826669085966106)","('ΔΤ', 0.7206945713056162)","('ΡΔ', 0.69460074047209)","('ΔΥ', 0.6719027841483891)","('ΔΨ', 0.660486967896463)","('ΡA', 0.6067780112734409)","('AΤ', 0.5926086038574612)","('ΡΛ', 0.5694085462620537)","('ΤΔ', 0.5685720256550908)","('ΛΤ', 0.5616480539286404)","('AΨ', 0.549266467321103)","('ΨΔ', 0.5477165352453424)","('AΥ', 0.5411925302624716)","('ΛΨ', 0.5370581687467251)","('ΛΥ', 0.513638031839425)","('´', 0.4697598601419738)","('ΨA', 0.442857809832201)","('ΤA', 0.4423211006964727)","('ΨΛ', 0.3982070811084478)","('ΥΔ', 0.39339963147547097)","('ΤΛ', 0.35705854474091814)","('ΓΔ', 0.3164861814212979)","('ΥA', 0.242481680812471)","('ΓA', 0.14127141989421688)","('ΥΛ', 0.1406275816404512)","('ΓΛ', 0.0)"
´,"('´', 0.9969029781143488, 0.0)","('Ψ', 0.8080435215682972)","('Ρ', 0.7967401449622001)","('Υ', 0.7748917834531257)","('Ν', 0.7521088716723672)","('Κ', 0.7375400376114009)","('Ε', 0.7350367554101175)","('Χ', 0.730760129219178)","('Π', 0.7170713812685916)","('Φ', 0.7138534118045821)","('Γ', 0.7136775513138512)","('Θ', 0.705237620998565)","('Η', 0.705048954042329)","('Τ', 0.6985341541452542)","('Μ', 0.6794507362154897)","('Ζ', 0.6735277917926668)","('Ο', 0.6696586131477029)","('Β', 0.6641459119375315)","('A', 0.6554421545470548)","('Ω', 0.642671043310796)","('Λ', 0.6405576303098501)","('Ξ', 0.6394118446845971)","('Σ', 0.6363142038484381)","('Δ', 0.6158770970768257)","('Ι', 0.5947272251471468)","('ΡΔ', 0.5470264292781196)","('ΔΤ', 0.5427300256722282)","('ΔΨ', 0.532386457956499)","('ΔΥ', 0.5244972109992035)","('ΡA', 0.5045500842365107)","('ΡΛ', 0.48843396112508286)","('ΨΔ', 0.45045895422169646)","('AΤ', 0.4490851814687684)","('AΨ', 0.4478823191167932)","('ΛΨ', 0.4441912021398269)","('AΥ', 0.426320178141147)","('ΛΤ', 0.42440519380056574)","('ΛΥ', 0.4054364334663504)","('ΤΔ', 0.3975291753492777)","('ΨA', 0.3911077484129969)","('ΨΛ', 0.3713786844161153)","('ΤA', 0.3275180058871614)","('ΤΛ', 0.2705602367037476)","('ΥΔ', 0.2705553358959236)","('ΓΔ', 0.20359954011273762)","('ΥA', 0.1801005456870436)","('ΥΛ', 0.11243193233945159)","('ΓA', 0.09798698072790002)","('ΓΛ', 0.0)"
Ε,"('Ε', 0.9965482526409852, 0.4473813616240001)","('Κ', 0.984707686345483, 0.4377510646972107)","('Ν', 0.9299551133459343, 0.43428117194579774)","('Χ', 0.9836111640467767, 0.42368501478080434)","('Ο', 0.9062202250365404, 0.3948863850797433)","('A', 0.9414150580501995, 0.3910590278018201)","('Θ', 0.92491931405942, 0.3861740825710681)","('Ζ', 0.9844181709884476, 0.3831861380829047)","('Λ', 0.935147816285153, 0.38026670705654164)","('Δ', 0.954543615032901, 0.37928665130259964)","('Υ', 0.964179767411802, 0.3660592467444167)","('Π', 0.9566354350991517, 0.3635255161255251)","('Η', 0.9470430409137395, 0.3618871129083969)","('Ω', 0.9437249676462468, 0.3397752631381703)","('Ρ', 0.9750228745346152, 0.3221569921797811)","('Σ', 0.9682240917664124, 0.2694524834991239)","('Β', 0.9400350786107913, 0.2646486552257479)","('Τ', 0.9129683472682651, 0.25571026708215006)","('Ψ', 0.9298037166354605, 0.24961215562741168)","('Ξ', 0.981628978784289, 0.23698130849562704)","('Φ', 0.9273719601317303, 0.17470081560922657)","('Ι', 0.931878580179694, 0.0)","('Μ', 0.8985882610972676)","('Γ', 0.8963725121752143)","('ΔΤ', 0.7246784158679549)","('ΡΔ', 0.7087536338590193)","('ΔΥ', 0.6821980558782013)","('ΔΨ', 0.6672059004620927)","('ΡA', 0.6258111615359445)","('AΤ', 0.5931702421595402)","('ΡΛ', 0.5894396500024996)","('ΤΔ', 0.5611332126847501)","('ΛΤ', 0.5580802997780667)","('ΨΔ', 0.556871142936876)","('´', 0.553372152195894)","('AΨ', 0.5523406993247175)","('AΥ', 0.5476204724173905)","('ΛΨ', 0.537558828212988)","('ΛΥ', 0.5164493811547926)","('ΨA', 0.4565314972675002)","('ΤA', 0.44024015175951137)","('ΨΛ', 0.4131061931942991)","('ΥΔ', 0.387997401638723)","('ΤΛ', 0.3546465392919389)","('ΓΔ', 0.3118961833413839)","('ΥA', 0.24186152095739222)","('ΓA', 0.1415384227808334)","('ΥΛ', 0.14014414797489883)","('ΓΛ', 0.0)"
Ρ,"('Ρ', 0.995253976478143, 0.38553346706948866)","('Ε', 0.9803645297966164, 0.3413511406539739)","('Ο', 0.913096355008891, 0.33974438857508105)","('Ν', 0.9454105699050974, 0.332040961207149)","('Θ', 0.9429799356207693, 0.3278791142571661)","('Χ', 0.9826851581131107, 0.32037388417986556)","('Ω', 0.940457588074299, 0.29704295397729386)","('Ψ', 0.9694876230410832, 0.2943892528014913)","('Υ', 0.9645575807836102, 0.28742068229911544)","('Β', 0.9528695812441338, 0.2844108738912928)","('Ζ', 0.9679926605830301, 0.2718837842975965)","('Η', 0.9607056944301781, 0.2701571394663459)","('A', 0.9329948419732789, 0.26976909771198765)","('Λ', 0.9229635797499333, 0.26634275627023274)","('Δ', 0.9386042448584835, 0.262680190243741)","('Π', 0.9692334246204173, 0.2624621951070055)","('Κ', 0.9763568914262549, 0.25809039001377)","('Σ', 0.9326343117470473, 0.1898936947402493)","('Τ', 0.9046936183701096, 0.18713531356290614)","('Φ', 0.9504686742916981, 0.1542695564005866)","('Ξ', 0.9569073238791936, 0.12615116257042913)","('Μ', 0.9213697600565542, 0.10277874366107209)","('Ι', 0.9016598553234046, 0.0)","('Γ', 0.868505889398456)","('ΔΤ', 0.7313514253824209)","('ΡΔ', 0.7237339792916364)","('ΔΨ', 0.6939944964785025)","('ΔΥ', 0.6901254304787654)","('´', 0.6654492700629777)","('ΡA', 0.640239967742495)","('ΡΛ', 0.6045455134338269)","('AΤ', 0.6028769638140421)","('AΨ', 0.580812931560457)","('ΨΔ', 0.5800426284126956)","('ΛΨ', 0.5694053623929944)","('ΛΤ', 0.5692950465891384)","('ΤΔ', 0.5691309873826278)","('AΥ', 0.5581672506570883)","('ΛΥ', 0.5288089448837164)","('ΨA', 0.47855174749054574)","('ΤA', 0.44829478381244237)","('ΨΛ', 0.4363725770864171)","('ΥΔ', 0.3967071263406746)","('ΤΛ', 0.3619243037748251)","('ΓΔ', 0.3124786529446929)","('ΥA', 0.25032490274701524)","('ΥΛ', 0.14816668352783646)","('ΓA', 0.14263624769501315)","('ΓΛ', 0.0)"
Ω,"('Ω', 0.9944415354229751, 0.41092530526374615)","('Ο', 0.9495214705109531, 0.39031082919497484)","('Μ', 0.9694217378832224, 0.3623740543791897)","('Θ', 0.9817522035801394, 0.35582614574448657)","('Ν', 0.9212232739853907, 0.2989502247037318)","('Χ', 0.9365467900037698, 0.2571508424558513)","('Κ', 0.9580143280062838, 0.24953005015391894)","('Λ', 0.9137473414909996, 0.22626799182068857)","('A', 0.9312756615948631, 0.2250836523217289)","('Η', 0.9896567283385954, 0.18382236359939386)","('Π', 0.9838349516377463, 0.18230281688611172)","('Ψ', 0.9287010651334453, 0.1821679940395612)","('Ζ', 0.9026085916493135, 0.16595019530218036)","('Δ', 0.9423486972229838, 0.15701941781146067)","('Φ', 0.9678663754479117, 0.13731895447648634)","('Ε', 0.9117932132736679, 0.05649557700175378)","('Β', 0.9626994101160814, 0.04381822326300788)","('Ξ', 0.9061670021287956, 0.042793003474827285)","('Ρ', 0.9403192412495179, 0.0)","('Υ', 0.8407341298043548)","('Σ', 0.829058941241009)","('ΡΔ', 0.8039633829273966)","('ΔΤ', 0.7882991739480183)","('ΔΨ', 0.7667728837002868)","('Ι', 0.7545118842579022)","('ΔΥ', 0.7538774778456565)","('ΡA', 0.7134723472602142)","('Τ', 0.710124178145949)","('ΡΛ', 0.6678300209156355)","('Γ', 0.6621177274445957)","('AΤ', 0.6581008679854108)","('ΨΔ', 0.6525023419093086)","('AΨ', 0.6511300060226162)","('ΛΨ', 0.6310256826581011)","('ΤΔ', 0.6303252088160018)","('AΥ', 0.6189764887821038)","('ΛΤ', 0.6137909007409001)","('ΛΥ', 0.5803919312091064)","('ΨA', 0.541540222564282)","('ΤA', 0.4985510757517875)","('ΨΛ', 0.48730287312820386)","('ΥΔ', 0.45989865050602785)","('ΤΛ', 0.3949454397603568)","('ΓΔ', 0.36219584019019113)","('ΥA', 0.296489628860254)","('´', 0.2896674060113765)","('ΥΛ', 0.1743736559003356)","('ΓA', 0.17031922202190863)","('ΓΛ', 0.0)"
Ο,"('Μ', 0.9738428058425065, 0.3757218550983712)","('Ο', 0.9936078313121403, 0.33869849300223687)","('Ν', 0.982074308723531, 0.32736979487183493)","('Θ', 0.9727322121872644, 0.27720686203745015)","('Ω', 0.9773188766620183, 0.25761889610334954)","('Κ', 0.9099680027364163, 0.2545399489749941)","('Χ', 0.9402130679520218, 0.19991872813580813)","('Λ', 0.9155867344691287, 0.19284031267859691)","('A', 0.9134737813492173, 0.18913091483856226)","('Η', 0.9707560497253938, 0.18595845791493248)","('Π', 0.9833374369606488, 0.1837140104802515)","('Ψ', 0.9469666728970272, 0.17478157391790794)","('Ρ', 0.9073007933208396, 0.0)","('Φ', 0.8928641382517793)","('Δ', 0.8898714509489609)","('Ζ', 0.8775381021475267)","('Ξ', 0.8761873036460869)","('ΔΤ', 0.8624418748637104)","('Β', 0.8596923716947192)","('Ε', 0.8584714515331497)","('Υ', 0.8516326112555075)","('ΡΔ', 0.851164999345124)","('ΔΨ', 0.828320491454165)","('ΔΥ', 0.8196109971013849)","('Σ', 0.7662857434624399)","('ΡA', 0.7639179364913256)","('AΤ', 0.7360287658677958)","('ΡΛ', 0.7236378753759996)","('AΨ', 0.7154668137352733)","('ΨΔ', 0.7112189878183972)","('ΤΔ', 0.7050169655944118)","('ΛΨ', 0.702833723132533)","('ΛΤ', 0.6993000446371054)","('Τ', 0.6936774068374618)","('AΥ', 0.6859225530093426)","('ΛΥ', 0.6545404124472254)","('Γ', 0.6249785455005148)","('ΨA', 0.5944270337458161)","('Ι', 0.5892110167287617)","('ΤA', 0.5654238899413317)","('ΨΛ', 0.5421278711539388)","('ΥΔ', 0.5119837323853709)","('ΤΛ', 0.4589023197624903)","('ΓΔ', 0.40399790542277203)","('ΥA', 0.33145103679537613)","('´', 0.2482794250395891)","('ΥΛ', 0.1998510965893846)","('ΓA', 0.1890580972835234)","('ΓΛ', 0.0)"
Τ,"('Υ', 0.9927700346275485, 0.4872301449876152)","('Τ', 0.9879548025915074, 0.4768062974024607)","('Ψ', 0.9053610576999245, 0.44165865137395743)","('A', 0.9074891523344993, 0.43314928105039496)","('Λ', 0.9171102650991079, 0.4318755527196111)","('Ν', 0.920303826538191, 0.41538613668480384)","('Γ', 0.9459641915376046, 0.3868511628117587)","('Χ', 0.9717018252120802, 0.37520392896363697)","('Κ', 0.9217320363474422, 0.3251468225542884)","('Ε', 0.9627110375959177, 0.31621483758850677)","('Ζ', 0.9821134508119583, 0.30074622376059856)","('Ρ', 0.9350351495237863, 0.2840639841679933)","('Δ', 0.9109246171018879, 0.2729060696711766)","('Σ', 0.9716702368950925, 0.23923233808036537)","('Π', 0.902971508176399, 0.2080154568877408)","('Ξ', 0.9710036242229415, 0.19607129889382857)","('Ι', 0.9251854398575067, 0.0)","('Η', 0.8780537808776926)","('Ω', 0.8694298720133706)","('Ο', 0.8626756882172986)","('Β', 0.8555350756916454)","('Θ', 0.8525073493143851)","('Φ', 0.8393061257631823)","('Μ', 0.8328292898133376)","('ΔΤ', 0.688259001525918)","('ΡΔ', 0.6407402164395217)","('´', 0.6380246638877648)","('ΔΥ', 0.6358340078758227)","('ΔΨ', 0.6164456522724867)","('AΤ', 0.5674498883220417)","('ΡA', 0.5621018815119552)","('ΛΤ', 0.5452409440093153)","('ΤΔ', 0.5389649003147947)","('ΡΛ', 0.5328341974421095)","('AΥ', 0.5122198721887764)","('AΨ', 0.5121017949714852)","('ΨΔ', 0.5071571485894142)","('ΛΨ', 0.5068901625111425)","('ΛΥ', 0.4924156089396544)","('ΤA', 0.4215233302930972)","('ΨA', 0.41030374817277415)","('ΨΛ', 0.3739963809932556)","('ΥΔ', 0.3622877002847473)","('ΤΛ', 0.34720924464294833)","('ΓΔ', 0.2915289748194997)","('ΥA', 0.22121921902876873)","('ΥΛ', 0.13027799215124947)","('ΓA', 0.1278477410102109)","('ΓΛ', 0.0)"
Ι,"('Ι', 0.9736356030673039, 0.43105532631890453)","('Ε', 0.9092839935281514, 0.24073939246540144)","('Γ', 0.9407876944247171, 0.22280919690357703)","('Σ', 0.9611226568893941, 0.22116118569264964)","('Τ', 0.9472586766230316, 0.2154154546062772)","('Ζ', 0.9205313727976436, 0.15532234964533143)","('Υ', 0.9012690690522134, 0.027203368429069785)","('Ξ', 0.9232248396644258, 0.0)","('Χ', 0.8698709262268254)","('Κ', 0.8403184144195626)","('Δ', 0.8358614854774903)","('Ρ', 0.8332150717458644)","('Λ', 0.815327086271644)","('A', 0.8056541050974151)","('Β', 0.7878383538934947)","('Π', 0.7845302497041285)","('Ν', 0.7738893858625657)","('Ω', 0.7680506033013305)","('Η', 0.7624248090676654)","('Ψ', 0.7544857268149983)","('Φ', 0.7385038031490745)","('Ο', 0.7284044831791316)","('Θ', 0.7248231322187825)","('Μ', 0.6952850100215329)","('ΔΤ', 0.5527551205412258)","('´', 0.5173116747105944)","('ΡΔ', 0.5072676621483596)","('ΔΥ', 0.5025841886872937)","('ΔΨ', 0.4673290632452163)","('AΤ', 0.44036910103859694)","('ΡA', 0.43510373864467755)","('ΤΔ', 0.4217585436713427)","('ΛΤ', 0.4211259770912882)","('ΡΛ', 0.4101849871350761)","('AΥ', 0.38987970042079234)","('ΨΔ', 0.37696549391001777)","('ΛΥ', 0.3718866715514526)","('AΨ', 0.3712439808314443)","('ΛΨ', 0.3636243025380018)","('ΤA', 0.3206828330594441)","('ΨA', 0.2941467009169605)","('ΥΔ', 0.27148022003586914)","('ΨΛ', 0.2641553483195689)","('ΤΛ', 0.2634698111323137)","('ΓΔ', 0.22931380610533625)","('ΥA', 0.1552927869293742)","('ΓA', 0.09543803551693275)","('ΥΛ', 0.08589841705967083)","('ΓΛ', 0.0)"
Δ,"('Ν', 0.9259366162672149, 0.41859444555923375)","('A', 0.9848078589869614, 0.39557493217769923)","('Χ', 0.9741987572415249, 0.39381789196801065)","('Λ', 0.9743256383970871, 0.37883730597844145)","('Κ', 0.9730516292072776, 0.35677761045202205)","('Ο', 0.9199422697641808, 0.3440625075185989)","('Δ', 0.9965843301803722, 0.3328003801929199)","('Θ', 0.9406011590583075, 0.32614193384500945)","('Υ', 0.9226180706511646, 0.29713412394562855)","('Ω', 0.9628278506816388, 0.29388122390602267)","('Ζ', 0.9628451934046509, 0.283125850226313)","('Μ', 0.9260788597694647, 0.23607645896929086)","('Ψ', 0.9194145531036412, 0.22141620188980682)","('Η', 0.9547708067748861, 0.18325237528127836)","('Π', 0.9544587375887431, 0.1826262692147651)","('Σ', 0.9162624562896471, 0.1298637589999717)","('Φ', 0.9372154669003262, 0.12444055147523359)","('Ε', 0.9520013444154296, 0.10456342629346582)","('Ξ', 0.9547713041301589, 0.0656826509361822)","('Ρ', 0.9371212439288855, 0.01693853361705333)","('Β', 0.9399662653033185, 0.0)","('Ι', 0.8593288446432576)","('Τ', 0.8442799588420082)","('Γ', 0.7823731977532129)","('ΔΤ', 0.752121697652529)","('ΡΔ', 0.7326625387447336)","('ΔΥ', 0.7131783230173447)","('ΔΨ', 0.7046844459104908)","('ΡA', 0.6472253781570032)","('AΤ', 0.6272093260392925)","('ΡΛ', 0.6016451647941754)","('ΤΔ', 0.59761233442202)","('AΨ', 0.5971169622678185)","('ΛΤ', 0.5879403279015789)","('ΨΔ', 0.586388426856514)","('AΥ', 0.5846296726579592)","('ΛΨ', 0.5793516757800192)","('ΛΥ', 0.5499797713450778)","('ΨA', 0.48241970606580753)","('ΤA', 0.4713181101839198)","('ΨΛ', 0.4293245741502494)","('ΥΔ', 0.4273714229084442)","('´', 0.40007968182891096)","('ΤΛ', 0.3738155095964878)","('ΓΔ', 0.33363733807158613)","('ΥA', 0.2744755234245645)","('ΥΛ', 0.1606564945365292)","('ΓA', 0.1561833933262461)","('ΓΛ', 0.0)"
Ε,"('Κ', 0.9882101564858106, 0.4758715822039694)","('Ν', 0.9319674344344313, 0.46832941376074955)","('Ε', 0.9965997727941724, 0.4486611208459119)","('Χ', 0.9833778307614806, 0.4340590257853081)","('A', 0.9434316679902371, 0.41157758574384484)","('Ο', 0.9085468682864923, 0.4069833180356157)","('Θ', 0.9291895316312311, 0.4018439041878956)","('Λ', 0.9358089834971557, 0.40146002040658546)","('Ζ', 0.981113945197949, 0.39407191259009766)","('Δ', 0.9550319228701204, 0.39398697331835)","('Η', 0.9501465568295906, 0.39024784538317725)","('Π', 0.9586863377654643, 0.38974340238311656)","('Υ', 0.9627274363259533, 0.3750042766360342)","('Ω', 0.9459688433941392, 0.3539429061223276)","('Ρ', 0.9770837357329786, 0.3216557286983236)","('Τ', 0.9059190147839716, 0.2754632483950499)","('Ψ', 0.9332835078844091, 0.2748588157361589)","('Β', 0.9416647624932621, 0.2694538680829719)","('Σ', 0.9630886656178654, 0.26254761146688876)","('Μ', 0.9024251331586912, 0.2550583472338016)","('Ξ', 0.9775725652182183, 0.24683202920769232)","('Φ', 0.9320424462157234, 0.18696641129261848)","('Ι', 0.9248537531996432, 0.0)","('Γ', 0.891461911945892)","('ΔΤ', 0.7278757172790542)","('ΡΔ', 0.7138544888456424)","('ΔΥ', 0.6867620276797359)","('ΔΨ', 0.6719123243557839)","('ΡA', 0.6315886649770316)","('AΤ', 0.5960947215733686)","('ΡΛ', 0.5948633023399883)","('ΤΔ', 0.5626911838354831)","('ΨΔ', 0.5614494030080808)","('´', 0.5612228572062363)","('ΛΤ', 0.5600025845097899)","('AΨ', 0.5567437319125317)","('AΥ', 0.5517764371284902)","('ΛΨ', 0.5413711468578041)","('ΛΥ', 0.5197502909237914)","('ΨA', 0.4616025928080344)","('ΤA', 0.4423533564233467)","('ΨΛ', 0.41783041652549735)","('ΥΔ', 0.38996604663472856)","('ΤΛ', 0.3559024585659104)","('ΓΔ', 0.3127519636234113)","('ΥA', 0.24413380369614068)","('ΓA', 0.14265822156287467)","('ΥΛ', 0.1416040465834595)","('ΓΛ', 0.0)"
